frame,t_s,t_b_s,a_p1_ok,a_p1_x_px,a_p1_y_px,a_p1_x_mm,a_p1_y_mm,a_p1_area,a_p2_ok,a_p2_x_px,a_p2_y_px,a_p2_x_mm,a_p2_y_mm,a_p2_area,b_p1_ok,b_p1_h_px,b_p1_z_px,b_p1_h_mm,b_p1_z_mm,b_p1_area,b_p2_ok,b_p2_h_px,b_p2_z_px,b_p2_h_mm,b_p2_z_mm,b_p2_area
240,3.840698,3.840698,1,818.733032,518.171753,88.307747,55.889500,164,1,1128.095459,411.359192,121.675278,44.368801,363,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
244,3.874023,3.874023,1,821.789368,520.292236,88.637398,56.118210,146,1,1137.685791,440.841888,122.709679,47.548775,358,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
246,3.907349,3.907349,1,822.135620,520.634277,88.674744,56.155106,153,1,1144.121216,470.524353,123.403801,50.750298,352,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
248,3.940674,3.940674,1,817.012146,520.709839,88.122131,56.163250,173,1,1147.575806,500.804230,123.776413,54.016254,345,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
252,3.973999,3.973999,1,825.107971,517.047119,88.995338,55.768200,155,1,1149.083984,531.298035,123.939072,57.305286,350,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
254,4.007446,4.007446,1,824.875732,523.325439,88.970291,56.445370,156,1,1147.976196,561.081177,123.819595,60.517670,342,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
256,4.040771,4.040771,1,822.365662,521.522949,88.699562,56.250957,160,1,1144.373901,590.249634,123.431053,63.663750,340,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
258,4.074097,4.074097,1,823.878906,520.519775,88.862778,56.142757,158,1,1137.921753,618.643799,122.735123,66.726311,341,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
260,4.107422,4.107422,1,823.416748,525.038635,88.812927,56.630157,152,1,1129.534912,646.482178,121.830528,69.728935,348,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
264,4.140747,4.140747,1,820.629272,525.378418,88.512276,56.666805,108,1,1118.521851,672.857300,120.642677,72.573730,350,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
266,4.174072,4.174072,1,826.004150,526.011902,89.092003,56.735130,102,1,1105.621216,698.446655,119.251228,75.333778,351,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
268,4.207397,4.207397,1,828.540894,526.166992,89.365608,56.751858,103,1,1090.974976,722.718689,117.671494,77.951729,353,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
272,4.240723,4.240723,1,828.248779,525.395264,89.334099,56.668621,85,1,1074.240112,745.280029,115.866486,80.385178,358,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
274,4.274048,4.274048,1,825.129944,526.445251,88.997711,56.781872,109,1,1055.154175,766.436707,113.807892,82.667114,364,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
276,4.307495,4.307495,1,824.638550,526.906433,88.944710,56.831612,123,1,1033.560547,785.786621,111.478836,84.754181,367,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
278,4.340820,4.340820,1,825.101990,527.664429,88.994698,56.913372,131,1,1009.978943,802.737610,108.935341,86.582497,367,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
280,4.374146,4.374146,1,825.112366,525.293152,88.995811,56.657608,122,1,984.470703,817.508240,106.184052,88.175644,368,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
284,4.407471,4.407471,1,822.799011,523.261475,88.746300,56.438473,102,1,957.667480,830.407043,103.293083,89.566895,360,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
286,4.440796,4.440796,1,822.013489,521.593018,88.661575,56.258514,99,1,930.656616,841.421204,100.379707,90.754875,366,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
288,4.474121,4.474121,1,819.077148,520.206909,88.344856,56.109005,99,1,901.855225,849.650330,97.273224,91.642456,361,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
