frame,t_s,t_b_s,a_p1_ok,a_p1_x_px,a_p1_y_px,a_p1_x_mm,a_p1_y_mm,a_p1_area,a_p2_ok,a_p2_x_px,a_p2_y_px,a_p2_x_mm,a_p2_y_mm,a_p2_area,b_p1_ok,b_p1_h_px,b_p1_z_px,b_p1_h_mm,b_p1_z_mm,b_p1_area,b_p2_ok,b_p2_h_px,b_p2_z_px,b_p2_h_mm,b_p2_z_mm,b_p2_area
289,5.495850,5.495850,1,598.755432,213.076599,64.581177,22.982233,80,1,822.940613,510.543518,88.761566,55.066727,35,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
291,5.529175,5.529175,1,619.440613,198.952469,66.812256,21.458820,85,1,821.321350,507.829346,88.586922,54.773975,33,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
296,5.562500,5.562500,1,641.922668,185.797699,69.237152,20.039959,83,1,819.547058,509.531189,88.395546,54.957539,39,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
298,5.595825,5.595825,1,665.425903,174.859711,71.772194,18.860197,81,1,821.351685,511.796448,88.590195,55.201866,25,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
301,5.629150,5.629150,1,690.869385,165.486847,74.516502,17.849249,73,1,822.209900,509.378967,88.682755,54.941116,41,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
303,5.662476,5.662476,1,716.748108,156.881073,77.307755,16.921040,72,1,823.122620,505.564636,88.781197,54.529709,31,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
306,5.695801,5.695801,1,742.349487,151.421555,80.069092,16.332180,80,1,824.131348,502.074341,88.889999,54.153248,33,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
310,5.729248,5.729248,1,767.472473,147.654617,82.778831,15.925882,83,1,823.847107,498.258575,88.859344,53.741684,36,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
312,5.762573,5.762573,1,793.393677,145.165436,85.574669,15.657403,85,1,822.077637,497.728271,88.668488,53.684486,48,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
316,5.795898,5.795898,1,821.164917,144.819565,88.570045,15.620097,87,1,820.889404,494.756897,88.540329,53.363998,33,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
318,5.829224,5.829224,1,848.296570,146.497620,91.496437,15.801090,90,1,822.946899,492.931854,88.762245,53.167149,25,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
322,5.862549,5.862549,1,875.368958,149.827530,94.416435,16.160252,86,1,822.600891,490.910675,88.724930,52.949146,48,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
324,5.895874,5.895874,1,902.436584,155.789001,97.335930,16.803249,88,1,822.230042,488.974670,88.684929,52.740334,38,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
327,5.929199,5.929199,1,929.110413,163.998581,100.212944,17.688726,78,1,826.929810,485.579681,89.191841,52.374149,26,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
331,5.962524,5.962524,1,954.171387,174.385712,102.915993,18.809072,78,1,824.985168,484.330811,88.982094,52.239449,43,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
333,5.995850,5.995850,1,980.011169,185.619064,105.703049,20.020691,84,1,826.804260,485.480347,89.178307,52.363438,55,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
336,6.029175,6.029175,1,1003.785950,199.483154,108.267372,21.516058,87,1,827.860657,485.353943,89.292244,52.349804,55,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
339,6.062622,6.062622,1,1026.301147,214.716187,110.695839,23.159079,90,1,833.140869,485.516754,89.861763,52.367363,62,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
342,6.095947,6.095947,1,1048.219116,231.476242,113.059891,24.966803,79,1,834.457642,484.408691,90.003784,52.247849,63,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
346,6.129272,6.129272,1,1068.743164,250.359009,115.273598,27.003479,95,1,837.138855,484.080719,90.292976,52.212471,62,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
349,6.162598,6.162598,1,1086.769043,270.111725,117.217842,29.133987,96,1,840.309631,485.738953,90.634979,52.391331,65,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
351,6.195923,6.195923,1,1103.719238,290.911224,119.046082,31.377401,93,1,840.911255,487.366272,90.699867,52.566849,70,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
355,6.229248,6.229248,1,1119.260498,313.513794,120.722343,33.815292,86,1,840.777954,487.085449,90.685486,52.536560,70,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
357,6.262573,6.262573,1,1132.721680,337.183563,122.174248,36.368290,95,1,840.875000,491.606171,90.695953,53.024158,66,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
360,6.295898,6.295898,1,1144.818604,359.740417,123.479012,38.801250,90,1,842.262390,498.027191,90.845604,53.716724,60,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
